text,label
Góp vốn bằng nhà ở thuộc sở hữu chung 1. Việc góp vốn bằng nhà ở thuộc sở hữu chung phải được sự đồng ý của tất cả các chủ sở hữu chung. 2. Các chủ sở hữu nhà ở thuộc sở hữu chung cùng ký vào hợp đồng góp vốn bằng nhà ở hoặc có thể thỏa thuận bằng văn bản cử người đại diện ký hợp đồng góp vốn bằng nhà ở.,Luật Khác
"Nhận lại người lao động hết thời hạn tạm hoãn thực hiện hợp đồng lao động Trong thời hạn 15 ngày kể từ ngày hết thời hạn tạm hoãn thực hiện hợp đồng lao động, người lao động phải có mặt tại nơi làm việc và người sử dụng lao động phải nhận người lao động trở lại làm công việc theo hợp đồng lao động đã giao kết nếu hợp đồng lao động còn thời hạn, trừ trường hợp hai bên có thỏa thuận hoặc pháp luật có quy định khác.",Luật Lao động
"Thay đổi Thẩm phán, Hội thẩm 1. Thẩm phán, Hội thẩm phải từ chối tham gia xét xử hoặc bị thay đổi khi thuộc một trong các trường hợp: a) Trường hợp quy định tại Điều 49 của Bộ luật này; b) Họ cùng trong một Hội đồng xét xử và là người thân thích với nhau; c) Đã tham gia xét xử sơ thẩm hoặc phúc thẩm hoặc tiến hành tố tụng vụ án đó với tư cách là Điều tra viên, Cán bộ điều tra, Kiểm sát viên, Kiểm tra viên, Thẩm tra viên, Thư ký Tòa án. 2. Việc thay đổi Thẩm phán, Hội thẩm trước khi mở phiên tòa do Chánh án hoặc Phó Chánh án Tòa án được phân công giải quyết vụ án quyết định. Thẩm phán bị thay đổi là Chánh án Tòa án thì do Chánh án Tòa án trên một cấp quyết định. Việc thay đổi Thẩm phán, Hội thẩm tại phiên tòa do Hội đồng xét xử quyết định trước khi bắt đầu xét hỏi bằng cách biểu quyết tại phòng nghị án. Khi xem xét thay đổi thành viên nào thì thành viên đó được trình bày ý kiến của mình, Hội đồng quyết định theo đa số. Trường hợp phải thay đổi Thẩm phán, Hội thẩm tại phiên tòa thì Hội đồng xét xử ra quyết định hoãn phiên tòa.",Luật Hình sự
"Tội sản xuất, tàng trữ, vận chuyển, sử dụng, phát tán, mua bán trái phép hoặc chiếm đoạt chất phóng xạ, vật liệu hạt nhân 1. Người nào sản xuất, tàng trữ, vận chuyển, sử dụng, phát tán, mua bán trái phép hoặc chiếm đoạt chất phóng xạ, vật liệu hạt nhân, thì bị phạt tù từ 02 năm đến 07 năm. 2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 12 năm: a) Có tổ chức; b) Vận chuyển, mua bán qua biên giới; c) Làm chết 01 người hoặc gây thương tích hoặc gây tổn hại cho sức khỏe của 01 người với tỷ lệ tổn thương cơ thể 61% trở lên; d) Gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người với tỷ lệ tổn thương cơ thể của mỗi người từ 31% đến 60%; đ) Gây thương tích hoặc gây tổn hại cho sức khỏe của 03 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 61% đến 121%; e) Gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng; g) Tái phạm nguy hiểm. 3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm: a) Làm chết 02 người; b) Gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người với tỷ lệ tổn thương cơ thể của mỗi người 61% trở lên; c) Gây thương tích hoặc gây tổn hại cho sức khỏe của 03 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 122% đến 200%; d) Gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.500.000.000 đồng.",Luật Dân sự
"Bồi thường thiệt hại trong trường hợp người bị thiệt hại có lỗi Khi người bị thiệt hại cũng có lỗi trong việc gây ra thiệt hại, thì người gây thiệt hại chỉ phải bồi thường phần thiệt hại tương ứng với mức độ lỗi của mình; nếu thiệt hại xảy ra hoàn toàn do lỗi của người bị thiệt hại, thì người gây thiệt hại không phải bồi thường.",Luật Dân sự
"Quyết định tiếp tục giải quyết vụ án dân sự Trong thời hạn 03 ngày làm việc, kể từ ngày lý do tạm đình chỉ giải quyết vụ án quy định tại Điều 214 của Bộ luật này không còn thì Tòa án phải ra quyết định tiếp tục giải quyết vụ án dân sự và gửi quyết định đó cho đương sự, cơ quan, tổ chức, cá nhân khởi kiện, Viện kiểm sát cùng cấp. Quyết định tạm đình chỉ giải quyết vụ án dân sự hết hiệu lực kể từ ngày ban hành quyết định tiếp tục giải quyết vụ án dân sự. Tòa án tiếp tục giải quyết vụ án kể từ khi ban hành quyết định tiếp tục giải quyết vụ án dân sự.",Luật Dân sự
"Thông báo bán đấu giá 1- Người bán đấu giá phải thông báo công khai tại nơi bán đấu giá và trên phương tiện thông tin đại chúng về thời gian, địa điểm, số lượng, chất lượng và danh mục các tài sản bán đấu giá chậm nhất là bảy ngày đối với động sản, ba mươi ngày đối với bất động sản trước ngày bán đấu giá, trừ trường hợp pháp luật có quy định khác. 2- Chủ sở hữu và những người có liên quan đến tài sản bán đấu giá phải được thông báo về việc bán đấu giá để tham gia định giá khởi điểm, trừ trường hợp có thoả thuận khác hoặc pháp luật có quy định khác.",Luật Khác
"Đất nông nghiệp là đất được xác định chủ yếu để sử dụng vào sản xuất nông nghiệp như trồng trọt, chăn nuôi, nuôi trồng thuỷ sản hoặc nghiên cứu thí nghiệm về nông nghiệp.",Luật Khác
"Đối tượng không được bảo hộ với danh nghĩa thiết kế bố trí Các đối tượng sau đây không được bảo hộ với danh nghĩa thiết kế bố trí: 1. Nguyên lý, quy trình, hệ thống, phương pháp được thực hiện bởi mạch tích hợp bán dẫn; 2. Thông tin, phần mềm chứa trong mạch tích hợp bán dẫn.",Luật Khác
Điều kiện chung đối với thiết kế bố trí được bảo hộ Thiết kế bố trí được bảo hộ nếu đáp ứng các điều kiện sau đây: 1. Có tính nguyên gốc; 2. Có tính mới thương mại.,Luật Thương mại
"Cho thuê lại lao động 1. Cho thuê lại lao động là việc người lao động đã được tuyển dụng bởi doanh nghiệp được cấp phép hoạt động cho thuê lại lao động sau đó làm việc cho người sử dụng lao động khác, chịu sự điều hành của người sử dụng lao động sau và vẫn duy trì quan hệ lao động với doanh nghiệp cho thuê lại lao động. 2. Hoạt động cho thuê lại lao động là ngành nghề kinh doanh có điều kiện và chỉ được thực hiện đối với một số công việc nhất định.",Luật Lao động
"Trợ cấp mất việc làm 1. Người sử dụng lao động trả trợ cấp mất việc làm cho người lao động đã làm việc thường xuyên cho mình từ 12 tháng trở lên mà bị mất việc làm theo quy định tại Điều 44 và Điều 45 của Bộ luật này, mỗi năm làm việc trả 01 tháng tiền lương nhưng ít nhất phải bằng 02 tháng tiền lương. 2. Thời gian làm việc để tính trợ cấp mất việc làm là tổng thời gian người lao động đã làm việc thực tế cho người sử dụng lao động trừ đi thời gian người lao động đã tham gia bảo hiểm thất nghiệp theo quy định của Luật bảo hiểm xã hội và thời gian làm việc đã được người sử dụng lao động chi trả trợ cấp thôi việc. 3. Tiền lương để tính trợ cấp mất việc làm là tiền lương bình quân theo hợp đồng lao động của 06 tháng liền kề trước khi người lao động mất việc làm. Mục 4. HỢP ĐỒNG LAO ĐỘNG VÔ HIỆU",Luật Lao động
"Hậu quả của việc kháng cáo, kháng nghị 1. Phần của bản án, quyết định của Tòa án cấp sơ thẩm bị kháng cáo, kháng nghị thì chưa được đưa ra thi hành, trừ trường hợp pháp luật quy định được thi hành ngay. 2. Bản án, quyết định hoặc phần của bản án, quyết định của Tòa án cấp sơ thẩm không bị kháng cáo, kháng nghị thì có hiệu lực pháp luật kể từ ngày hết thời hạn kháng cáo, kháng nghị.",Luật Khác
"Miễn nhiệm Hòa giải viên 1. Việc miễn nhiệm Hòa giải viên được thực hiện khi thuộc một trong các trường hợp sau đây: a) Theo nguyện vọng của Hòa giải viên; b) Hòa giải viên không còn đáp ứng một trong các điều kiện quy định tại khoản 1 Điều 10 của Luật này hoặc thuộc trường hợp quy định tại điểm b khoản 2 Điều 10 của Luật này. 2. Khi có căn cứ quy định tại khoản 1 Điều này, Tòa án nơi Hòa giải viên làm việc đề nghị Chánh án Tòa án nhân dân cấp tỉnh xem xét, quyết định miễn nhiệm Hòa giải viên. Trong thời hạn 03 ngày làm việc kể từ ngày nhận được đề nghị, Chánh án Tòa án nhân dân cấp tỉnh xem xét, quyết định việc miễn nhiệm Hòa giải viên. Quyết định này được gửi cho người bị miễn nhiệm và Tòa án nơi họ làm việc. 3. Trong thời hạn 03 ngày làm việc kể từ ngày ra quyết định miễn nhiệm, Chánh án Tòa án nhân dân cấp tỉnh xóa tên Hòa giải viên bị miễn nhiệm khỏi danh sách Hòa giải viên, công bố danh sách Hòa giải viên bị miễn nhiệm trên Trang thông tin điện tử của Tòa án nhân dân cấp tỉnh và niêm yết tại trụ sở Tòa án nơi Hòa giải viên đã làm việc; đồng thời gửi đến Tòa án nhân dân tối cao để công bố trên Cổng thông tin điện tử của Tòa án nhân dân tối cao. 4. Tòa án nhân dân cấp tỉnh thu hồi thẻ Hòa giải viên sau khi xóa tên Hòa giải viên.",Luật Khác
"Thiệt hại do thu nhập thực tế bị mất hoặc bị giảm sút 1. Thu nhập thực tế bị mất hoặc bị giảm sút của người bị thiệt hại là cá nhân được xác định như sau: a) Thu nhập ổn định từ tiền lương, tiền công được xác định theo mức tiền lương, tiền công của người bị thiệt hại trong khoảng thời gian tiền lương, tiền công bị mất hoặc bị giảm sút; b) Thu nhập không ổn định từ tiền lương, tiền công được xác định căn cứ vào mức tiền lương, tiền công trung bình của 03 tháng liền kề trước thời điểm thiệt hại xảy ra trong khoảng thời gian tiền lương, tiền công bị mất hoặc bị giảm sút; c) Thu nhập không ổn định theo mùa vụ được xác định là thu nhập trung bình của lao động cùng loại tại địa phương trong khoảng thời gian thu nhập thực tế bị mất hoặc bị giảm sút. Nếu không xác định được thu nhập trung bình của lao động cùng loại tại địa phương thì thu nhập thực tế bị mất hoặc bị giảm sút được bồi thường là 01 ngày lương tối thiểu vùng tại nơi người bị thiệt hại cư trú cho 01 ngày bị thiệt hại. Ngày lương tối thiểu vùng được xác định là 01 tháng lương tối thiểu vùng do Nhà nước quy định chia cho 26 ngày. 2. Thu nhập thực tế bị mất hoặc bị giảm sút của người bị thiệt hại là tổ chức bao gồm các khoản thu nhập theo quy định của pháp luật về thuế thu nhập doanh nghiệp. Thu nhập được bồi thường được xác định căn cứ vào thu nhập trung bình của 02 năm liền kề trước thời điểm xảy ra thiệt hại. Việc xác định thu nhập trung bình được căn cứ vào báo cáo tài chính của tổ chức theo quy định của pháp luật. Trường hợp tổ chức được thành lập chưa đủ 02 năm tính đến thời điểm xảy ra thiệt hại thì thu nhập được bồi thường được xác định trên cơ sở thu nhập trung bình trong thời gian hoạt động thực tế theo báo cáo tài chính của tổ chức đó theo quy định của pháp luật.",Luật Dân sự
"Quyết định công nhận kết quả hòa giải thành, đối thoại thành tại Tòa án Quyết định công nhận kết quả hòa giải thành, đối thoại thành phải có các nội dung sau đây: 1. Ngày, tháng, năm ra quyết định; 2. Tên Tòa án ra quyết định; 3. Họ, tên của Thẩm phán ra quyết định; 4. Họ, tên, địa chỉ của các bên, người đại diện, người phiên dịch; 5. Nội dung hòa giải thành, đối thoại thành; 6. Căn cứ ra quyết định công nhận kết quả hòa giải thành, đối thoại thành.",Luật Khác
"Quyết định hình phạt trong trường hợp phạm nhiều tội Khi xét xử cùng một lần một người phạm nhiều tội, Toà án quyết định hình phạt đối với từng tội, sau đó tổng hợp hình phạt theo quy định sau đây: 1. Đối với hình phạt chính : a) Nếu các hình phạt đã tuyên cùng là cải tạo không giam giữ hoặc cùng là tù có thời hạn, thì các hình phạt đó được cộng lại thành hình phạt chung; hình phạt chung không được vượt quá ba năm đối với hình phạt cải tạo không giam giữ, ba mươi năm đối với hình phạt tù có thời hạn; b) Nếu các hình phạt đã tuyên là cải tạo không giam giữ, tù có thời hạn, thì hình phạt cải tạo không giam giữ được chuyển đổi thành hình phạt tù theo tỷ lệ cứ ba ngày cải tạo không giam giữ được chuyển đổi thành một ngày tù để tổng hợp thành hình phạt chung theo quy định tại điểm a khoản 1 Điều này; c) Nếu hình phạt nặng nhất trong số các hình phạt đã tuyên là tù chung thân thì hình phạt chung là tù chung thân; d) Nếu hình phạt nặng nhất trong số các hình phạt đã tuyên là tử hình thì hình phạt chung là tử hình; đ) Phạt tiền không tổng hợp với các loại hình phạt khác; các khoản tiền phạt được cộng lại thành hình phạt chung; e) Trục xuất không tổng hợp với các loại hình phạt khác. 2. Đối với hình phạt bổ sung: a) Nếu các hình phạt đã tuyên là cùng loại thì hình phạt chung được quyết định trong giới hạn do Bộ luật này quy định đối với loại hình phạt đó; riêng đối với hình phạt tiền thì các khoản tiền phạt được cộng lại thành hình phạt chung; b) Nếu các hình phạt đã tuyên là khác loại thì người bị kết án phải chấp hành tất cả các hình phạt đã tuyên.",Luật Khác
Vốn cho phát triển nhà ở công vụ 1. Vốn ngân sách nhà nước cấp bao gồm ngân sách trung ương và ngân sách địa phương. 2. Các nguồn vốn khác theo quy định của pháp luật.,Luật Khác
Hiệu lực thi hành 1. Luật này có hiệu lực thi hành kể từ ngày 01 tháng 01 năm 2015. 2. Luật phá sản số 21/2004/QH11 hết hiệu lực kể từ ngày Luật này có hiệu lực.,Luật Khác
"Chính sách của nhà nước về an toàn lao động, vệ sinh lao động 1. Nhà nước đầu tư nghiên cứu khoa học, hỗ trợ phát triển các cơ sở sản xuất dụng cụ, thiết bị an toàn lao động, vệ sinh lao động, phương tiện bảo vệ cá nhân. 2. Khuyến khích phát triển các dịch vụ về an toàn lao động, vệ sinh lao động.",Luật Lao động
Di chúc bằng văn bản Di chúc bằng văn bản bao gồm: 1. Di chúc bằng văn bản không có người làm chứng. 2. Di chúc bằng văn bản có người làm chứng. 3. Di chúc bằng văn bản có công chứng. 4. Di chúc bằng văn bản có chứng thực.,Luật Khác
"Đối tượng và điều kiện được thuê nhà ở Tổ chức, cá nhân nước ngoài được phép vào Việt Nam có thời hạn từ ba tháng liên tục trở lên và người Việt Nam định cư ở nước ngoài được thuê nhà ở tại Việt Nam.",Luật Khác
Các loại hình quỹ đầu tư chứng khoán 1. Quỹ đầu tư chứng khoán bao gồm quỹ đại chúng và quỹ thành viên. 2. Quỹ đại chúng bao gồm quỹ mở và quỹ đóng.,Luật Tài chính - Ngân hàng
"Hợp đồng vận chuyển hành khách Hợp đồng vận chuyển hành khách là sự thoả thuận giữa các bên, theo đó bên vận chuyển chuyên chở hành khách, hành lý đến địa điểm đã định theo thoả thuận, còn hành khách phải thanh toán cước phí vận chuyển.",Luật Khác
Sự có mặt của thành viên Hội đồng xét xử phúc thẩm và Thư ký Toà án 1. Phiên toà chỉ được tiến hành khi có đủ thành viên Hội đồng xét xử và Thư ký Toà án. 2. Trường hợp có Thẩm phán vắng mặt hoặc không thể tiếp tục tham gia xét xử vụ án nhưng có Thẩm phán dự khuyết tham gia phiên toà từ đầu thì người này được thay thế Thẩm phán vắng mặt tham gia xét xử vụ án. 3. Trường hợp không có Thẩm phán dự khuyết để thay thế thành viên Hội đồng xét xử theo quy định tại khoản 2 Điều này thì phải hoãn phiên toà. 4. Trường hợp Thư ký Toà án vắng mặt hoặc không thể tiếp tục tham gia phiên toà mà không có người thay thế thì phải hoãn phiên toà.,Luật Hình sự
Bên nhận uỷ thác có thể nhận uỷ thác mua bán hàng hoá của nhiều bên uỷ thác khác nhau.,Luật Khác
"Hợp đồng vay tài sản Hợp đồng vay tài sản là sự thỏa thuận giữa các bên, theo đó bên cho vay giao tài sản cho bên vay; khi đến hạn trả, bên vay phải hoàn trả cho bên cho vay tài sản cùng loại theo đúng số lượng, chất lượng và chỉ phải trả lãi nếu có thỏa thuận hoặc pháp luật có quy định.",Luật Dân sự
"Thời hạn mở phiên tòa Trong thời hạn 20 ngày kể từ ngày có quyết định đưa vụ án ra xét xử, Tòa án phải mở phiên tòa; trường hợp có lý do chính đáng thì thời hạn mở phiên tòa có thể kéo dài nhưng không quá 30 ngày.",Luật Hình sự
"Nhận tổ viên mới Tổ hợp tác có thể nhận thêm tổ viên mới, nếu được đa số tổ viên đồng ý, trừ trường hợp có thoả thuận khác.",Luật Khác
"Hợp đồng thuê tài sản Hợp đồng thuê tài sản là sự thỏa thuận giữa các bên, theo đó bên cho thuê giao tài sản cho bên thuê để sử dụng trong một thời hạn, bên thuê phải trả tiền thuê. Hợp đồng thuê nhà ở, hợp đồng thuê nhà để sử dụng vào mục đích khác được thực hiện theo quy định của Bộ luật này, Luật nhà ở và quy định khác của pháp luật có liên quan.",Luật Dân sự
"Tuân thủ pháp luật trong tố tụng dân sự Mọi hoạt động tố tụng dân sự của cơ quan tiến hành tố tụng, người tiến hành tố tụng, người tham gia tố tụng, của cơ quan, tổ chức, cá nhân có liên quan phải tuân theo các quy định của Bộ luật này.",Luật Dân sự
"Sự có mặt của Kiểm sát viên 1. Kiểm sát viên được Viện trưởng Viện kiểm sát cùng cấp phân công có nhiệm vụ tham gia phiên tòa. Hội đồng xét xử quyết định hoãn phiên tòa khi Kiểm sát viên vắng mặt trong trường hợp Viện kiểm sát có kháng nghị. 2. Trường hợp Kiểm sát viên vắng mặt hoặc không thể tiếp tục tham gia phiên tòa, nhưng có Kiểm sát viên dự khuyết tham gia phiên tòa từ đầu thì người này được thay thế Kiểm sát viên vắng mặt tham gia phiên tòa xét xử vụ án.",Luật Hình sự
"Thời hạn thuê khoán Thời hạn thuê khoán do các bên thoả thuận theo chu kỳ sản xuất, kinh doanh phù hợp với tính chất của đối tượng thuê khoán.",Luật Thương mại
Điều kiện của cá nhân làm người giám hộ Người có đủ các điều kiện sau đây có thể làm người giám hộ: 1- Đủ mười tám tuổi trở lên; 2- Có năng lực hành vi dân sự đầy đủ; 3- Có điều kiện cần thiết bảo đảm thực hiện việc giám hộ.,Luật Dân sự
"Công bố thông báo tìm kiếm người vắng mặt tại nơi cư trú 1. Trong thời hạn 01 tháng, kể từ ngày Tòa án ra quyết định thông báo tìm kiếm người vắng mặt tại nơi cư trú, thông báo này phải được đăng trên một trong các báo hàng ngày của trung ương trong ba số liên tiếp, Cổng thông tin điện tử của Tòa án, Ủy ban nhân dân cấp tỉnh (nếu có) và phát sóng trên Đài phát thanh hoặc Đài truyền hình của trung ương ba lần trong 03 ngày liên tiếp. 2. Chi phí cho việc đăng, phát thông báo tìm kiếm người vắng mặt tại nơi cư trú do người yêu cầu chịu.",Luật Khác
"Phương thức giao tài sản Tài sản được giao theo phương thức do các bên thoả thuận tuỳ theo tính chất và đối tượng của hợp đồng; nếu không có thoả thuận về phương thức giao tài sản, thì tài sản do bên bán giao một lần, giao trực tiếp cho bên mua.",Luật Dân sự
"Báo cáo thay đổi thông tin của người quản lý doanh nghiệp Doanh nghiệp phải báo cáo Cơ quan đăng ký kinh doanh nơi doanh nghiệp có trụ sở chính trong thời hạn 05 ngày, kể từ ngày có thay đổi thông tin về họ, tên, địa chỉ liên lạc, quốc tịch, số Thẻ căn cước công dân, Giấy chứng minh nhân dân, Hộ chiếu hoặc chứng thực cá nhân hợp pháp khác của những người sau đây: 1. Thành viên Hội đồng quản trị đối với công ty cổ phần; 2. Thành viên Ban kiểm soát hoặc Kiểm soát viên; 3. Giám đốc hoặc Tổng giám đốc.",Luật Thương mại
"Đăng ký việc giám hộ Việc giám hộ phải được đăng ký tại Uỷ ban nhân dân xã, phường, thị trấn nơi cư trú của người giám hộ hoặc nơi có trụ sở của cơ quan, tổ chức đảm nhận việc giám hộ.",Luật Khác
"Đình chỉ việc xét tính hợp pháp của cuộc đình công Tòa án đình chỉ việc xét tính hợp pháp của cuộc đình công trong các trường hợp sau đây: 1. Người yêu cầu rút đơn yêu cầu; 2. Các bên đã thỏa thuận được với nhau về giải quyết cuộc đình công và có đơn yêu cầu Tòa án không giải quyết; 3. Người yêu cầu đã được triệu tập hợp lệ lần thứ hai mà vẫn vắng mặt, trừ trường hợp do sự kiện bất khả kháng, trở ngại khách quan.",Luật Khác
"Đối tượng của hợp đồng gia công Đối tượng của hợp đồng gia công là vật được xác định trước theo mẫu, theo tiêu chuẩn mà các bên thỏa thuận hoặc pháp luật có quy định.",Luật Dân sự
"Hình thức khiếu nại Việc khiếu nại phải được thực hiện bằng đơn. Trong đơn khiếu nại phải ghi rõ ngày, tháng, năm; họ, tên, địa chỉ của người khiếu nại; nội dung, lý do khiếu nại, yêu cầu của người khiếu nại, có chữ ký hoặc điểm chỉ của người khiếu nại.",Luật Khác
"Tội gây thương tích hoặc gây tổn hại cho sức khoẻ của người khác trong khi thi hành công vụ 1. Người nào trong khi thi hành công vụ dùng vũ lực ngoài những trường hợp pháp luật cho phép gây thương tích hoặc tổn hại cho sức khoẻ của người khác mà tỷ lệ thương tật từ 31% trở lên, thì bị phạt cải tạo không giam giữ đến ba năm hoặc phạt tù từ ba tháng đến ba năm. 2. Phạm tội đối với nhiều người thì bị phạt tù từ hai năm đến bảy năm. 3. Người phạm tội còn có thể bị cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ một năm đến năm năm.",Luật Hình sự
"Nhận đơn khởi kiện và thụ lý vụ án Ngay sau khi nhận được đơn khởi kiện về danh sách cử tri, Chánh án Tòa án phân công một Thẩm phán thụ lý ngay vụ án.",Luật Khác
III- THẾ CHẤP TÀI SẢN.,Luật Dân sự
"Đối tượng được hưởng chính sách hỗ trợ về nhà ở xã hội Các đối tượng sau đây nếu đáp ứng điều kiện quy định tại Điều 51 của Luật này thì được hưởng chính sách hỗ trợ về nhà ở xã hội: 1. Người có công với cách mạng theo quy định của pháp luật về ưu đãi người có công với cách mạng; 2. Hộ gia đình nghèo và cận nghèo tại khu vực nông thôn; 3. Hộ gia đình tại khu vực nông thôn thuộc vùng thường xuyên bị ảnh hưởng bởi thiên tai, biến đổi khí hậu; 4. Người thu nhập thấp, hộ nghèo, cận nghèo tại khu vực đô thị; 5. Người lao động đang làm việc tại các doanh nghiệp trong và ngoài khu công nghiệp; 6. Sĩ quan, hạ sĩ quan nghiệp vụ, hạ sĩ quan chuyên môn kỹ thuật, quân nhân chuyên nghiệp, công nhân trong cơ quan, đơn vị thuộc công an nhân dân và quân đội nhân dân; 7. Cán bộ, công chức, viên chức theo quy định của pháp luật về cán bộ, công chức, viên chức; 8. Các đối tượng đã trả lại nhà ở công vụ theo quy định tại khoản 5 Điều 81 của Luật này; 9. Học sinh, sinh viên các học viện, trường đại học, cao đẳng, dạy nghề; học sinh trường dân tộc nội trú công lập được sử dụng nhà ở trong thời gian học tập; 10. Hộ gia đình, cá nhân thuộc diện bị thu hồi đất và phải giải tỏa, phá dỡ nhà ở theo quy định của pháp luật mà chưa được Nhà nước bồi thường bằng nhà ở, đất ở.",Luật Dân sự
